pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_teff,disc_year,sy_dist
Kepler-11 b,Kepler-11,1,6,0,10.3039,1.8,1.9,1.72,0.045,146.36,849.0,5663.0,2010,646.346
Kepler-31 c,Kepler-31,1,3,0,42.6318,5.3,1493.7,0.73,0.0,35.254,615.0,6340.0,2011,1664.64
Kepler-32 c,Kepler-32,1,5,0,8.7522,2.0,158.9,0.33,0.0,10.68,451.0,3900.0,2011,323.847
Kepler-1735 b,Kepler-1735,1,1,0,7.71792984,1.19429134,1.84,5.94,0.0,15.01,502.0,3975.0,2021,245.303
GU Psc b,GU Psc,1,1,0,,14.179,3591.3,6.92,,,1050.0,4031.81,2014,47.5501
Kepler-32 d,Kepler-32,1,5,0,22.7802,2.7,39.9089,0.52,0.0,3.631,328.0,3900.0,2012,323.847
Kepler-31 d,Kepler-31,1,3,0,87.6451,3.9,2161.244,0.077,0.0,11.8,484.0,6340.0,2014,1664.64
HAT-P-45 b,HAT-P-45,1,1,0,3.128992,15.984,283.492,0.38,0.049,1052.239,1652.0,6330.0,2014,298.64
HAT-P-44 b,HAT-P-44,1,2,0,4.301219,13.922,111.871,0.23,0.044,185.119,1108.0,5295.0,2014,347.85
HAT-P-27 b,HAT-P-27,2,1,0,3.039577,11.43,197.05,0.76,0.0,336.0384,1091.99,5316.0,2011,199.173
Kepler-31 b,Kepler-31,1,3,0,20.8613,5.5,36.7418,0.78,0.0,91.474,781.0,6340.0,2011,1664.64
Kepler-32 f,Kepler-32,1,5,0,0.74296,0.82,969.228,1.5,0.0,349.645,1026.0,3900.0,2012,323.847
Kepler-134 c,Kepler-134,1,2,0,10.105785,1.26,2.13,5.85,0.0,128.086,892.0,5983.0,2014,334.797
Kepler-210 b,Kepler-210,1,2,0,2.453234,2.94,8.96,1.94,0.0,122.139,737.0,4559.0,2014,232.75
Kepler-422 b,Kepler-422,1,1,0,7.8914483,12.89,136.66,0.38,0.0,264.983,1028.0,5972.0,2014,722.795
Kepler-426 b,Kepler-426,1,1,0,3.21751883,12.22,108.06,0.26,0.18,410.723,1300.0,5725.0,2014,843.695
KOI-94 d,KOI-94,2,4,0,22.342989,11.27,106.0,0.363,0.022,97.12,806.0,6182.0,2013,477.052
KOI-94 b,KOI-94,2,4,0,3.743208,1.71,10.5,10.1,0.25,1053.181,1486.0,6182.0,2013,477.052
Kepler-415 c,Kepler-415,1,2,0,8.708,2.01,4.7,3.18,0.0,26.237,543.0,4362.0,2014,530.487
Kepler-428 b,Kepler-428,1,1,0,3.52563254,12.11,403.63,1.02,0.22,195.088,1070.0,5150.0,2014,686.284
Kepler-425 b,Kepler-425,1,1,0,3.79701816,10.962,79.45,0.27,0.33,229.036,1070.0,5170.0,2014,646.647
WASP-70 A b,WASP-70 A,2,1,0,3.7130203,13.047,187.512,0.499,0.0,649.1548,1387.0,5763.0,2014,222.355
KOI-94 e,KOI-94,2,4,0,54.32031,6.56,35.0,0.6,0.019,29.7,584.0,6182.0,2013,477.052
Kepler-396 c,Kepler-396,1,2,0,88.505,5.3,17.9,0.661,0.0,5.244,390.0,5656.0,2013,223.757
Kepler-122 f,Kepler-122,1,5,0,56.268,1.75,36.0,36.9,0.0,21.524,543.0,5917.0,2014,1027.45
Kepler-96 b,Kepler-96,1,1,0,16.2385,2.67,8.46,2.26,0.0,57.524,711.0,5690.0,2014,122.881
KOI-13 b,KOI-13,3,1,0,1.763588,16.948008,2949.4624,3.6,0.00064,25339.901,2550.0,7650.0,2011,519.096
Kepler-17 b,Kepler-17,1,1,0,1.4857108,14.68,778.65,1.35,0.011,1481.766,1570.0,5781.0,2011,720.753
TOI-7510 d,TOI-7510,1,3,0,48.864468,10.52,190.0,0.89,0.04,20.6036,542.4,5720.0,2025,249.006
CoRoT-23 b,CoRoT-23,1,1,0,3.6313,11.77,889.9,3.0,0.16,,1660.0,5900.0,2011,1060.97
Kepler-414 c,Kepler-414,1,2,0,7.171,3.01,29.9,6.02,0.0,137.086,890.0,5536.0,2014,413.46
HD 3167 e,HD 3167,1,4,0,96.63,2.83,8.41,2.04,0.15,,374.8,5261.0,2022,47.2899
Kepler-42 c,Kepler-42,1,3,0,0.45328509,0.73,60.337,98.0,0.0,82.125,720.0,3068.0,2011,40.0595
Kepler-33 c,Kepler-33,1,5,0,13.17562,3.2,0.39,0.13,0.0,241.759,1009.0,5904.0,2011,1209.16
Kepler-641 b,Kepler-641,1,1,0,9.48961571,1.85,4.08,3.54,0.0,311.788,926.0,5713.0,2016,969.918
Kepler-410 A b,Kepler-410 A,2,1,0,17.833648,2.838,8.44,2.03,0.17,159.5,866.0,6273.0,2013,147.527
Kepler-314 c,Kepler-314,1,2,0,5.960392,2.9,8.75,1.97,0.0,149.977,890.0,5378.0,2014,268.881
Kepler-415 b,Kepler-415,1,2,0,4.176,1.21,119.9,372.0,0.0,69.834,694.0,4362.0,2014,530.487
